"Action","Action"
"Active deals tab settings","Active deals tab settings"
"Admin deal expired","Admin deal expired"
"Admin deal succeed","Admin deal succeed"
"Administrator","Administrator"
"Administrator email","Administrator email"
"All Deals","All Deals"
"Archive","Archive"
"Archived","Archived"
"Are you sure? All purchases, connected to this deal, will be refunded","Are you sure? All purchases, connected to this deal, will be refunded"
"Are you sure?","Are you sure?"
"Automatically close deal on success","Automatically close deal on success"
"Available Coupons","Available Coupons"
"Available from","Available from"
"Available From","Available From"
"Available to","Available to"
"Available To","Available To"
"Back","Back"
"Bill to Name","Bill to Name"
"Buy!","Buy!"
"Change status","Change status"
"Close as Failed","Close as Failed"
"Close as Success","Close as Success"
"Closed","Closed"
"Closed Deals","Closed Deals"
"Closed deals tab settings","Closed deals tab settings"
"Condition","Condition"
"Coupon code","Coupon code"
"Coupon expires after has been received, days","Coupon expires after has been received, days"
"Coupon prefix","Coupon prefix"
"Coupons","Coupons"
"Coupons functionality will be available after deal is created","Coupons functionality will be available after deal is created"
"Coupons qty:","Coupons qty:"
"Coupon status","Coupon status"
"Coupons were successfully generated","Coupons were successfully generated"
"Create New Deal","Create New Deal"
"Current purchases count is more then maximum allowed purchases","Current purchases count is more then maximum allowed purchases"
"Customer deal closed and succeed","Customer deal closed and succeed"
"Customer deal expired","Customer deal expired"
"Customer Name","Customer Name"
"day","day"
"days","days"
"Deal","Deal"
"Deal expires before","Deal expires before"
"Deal failed template for admin","Deal failed template for admin"
"Deal failed template for customer","Deal failed template for customer"
"Deal Information","Deal Information"
"Deal is not available now","Deal is not available now"
"Deal name:","Deal name:"
"Deal name","Deal name"
"Deal Name","Deal Name"
"Deal price","Deal price"
"Deal qty is not available","Deal qty is not available"
"Deal qty is not available now","Deal qty is not available now"
"Deals","Deals"
"Deal #%s is not available more","Deal #%s is not available more"
"Deal %s is not available now","Deal %s is not available now"
"Deal status:","Deal status:"
"Deal succeed template for admin","Deal succeed template for admin"
"Deal succeed template for customer","Deal succeed template for customer"
"Deal successfully archived","Deal successfully archived"
"Deal successfully closed","Deal successfully closed"
"Deal successfully closed, refunds completed","Deal successfully closed, refunds completed"
"Deal successfully deleted","Deal successfully deleted"
"Deal successfully reopened","Deal successfully reopened"
"Deal view image size, px","Deal view image size, px"
"Dear %s","Dear %s"
"Delete Deal","Delete Deal"
"Delete","Delete"
"Description","Description"
"Details","Details"
"Discount","Discount"
"Edit Deal","Edit Deal"
"Edit Deal '%s'","Edit Deal '%s'"
"Edit Deal #'%s'","Edit Deal #'%s'"
"Email sender","Email sender"
"Enable coupons","Enable coupons"
"Enabled","Enabled"
"Enable","Enable"
"Enable or disable module frontend functionality","Enable or disable module frontend functionality"
"Error: associated product has been deleted","Error: associated product has been deleted"
"Error while coupons generating","Error while coupons generating"
"Expired","Expired"
"Expires at:","Expires at:"
"Expires at","Expires at"
"Expires","Expires"
"Failed","Failed"
"Featured Deal","Featured Deal"
"Featured deal tab settings","Featured deal tab settings"
"from","from"
"General Information","General Information"
"General Section","General Section"
"General settings","General settings"
"Generate coupons","Generate coupons"
"Generate","Generate"
"Group deals","Group deals"
"Group Deals","Group Deals"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"hour","hour"
"hours","hours"
"ID:","ID:"
"ID","ID"
"If empty, emails will be sent to General Contact","If empty, emails will be sent to General Contact"
"Image","Image"
"Incorrect coupons number","Incorrect coupons number"
"Incorrect deal","Incorrect deal"
"Information","Information"
"Is active","Is active"
"Is Active","Is Active"
"Is featured","Is featured"
"Leave empty or set zero for unlimited","Leave empty or set zero for unlimited"
"Limited quantity available","Limited quantity available"
"Linked Product Visibility","Linked Product Visibility"
"Linked-to-deal product visibility","Linked-to-deal product visibility"
"Maximum allowed purchases","Maximum allowed purchases"
"minute","minute"
"minutes","minutes"
"My deals","My deals"
"Name in Store","Name in Store"
"Name","Name"
"New Deal","New Deal"
"Next step","Next step"
"No coupons found","No coupons found"
"No deals available","No deals available"
"No deals found","No deals found"
"No","No"
"Not enough coupons to close this deal","Not enough coupons to close this deal"
"Notifications","Notifications"
"Notify about deal expiration template","Notify about deal expiration template"
"Notify admin before deal expires, days","Notify admin before deal expires, days"
"Not Running","Not Running"
"Not used","Not used"
"Only closed deals can be deleted. Deal #%d is not closed","Only closed deals can be deleted. Deal #%d is not closed"
"Order Id","Order Id"
"Order #","Order #"
"Orders","Orders"
"Order %s: %s","Order %s: %s"
"Payment status:","Payment status:"
"Pending","Pending"
"Please enter a number greater than 0 in this field","Please enter a number greater than 0 in this field"
"Please select item(s)","Please select item(s)"
"Price paid:","Price paid:"
"Price","Price"
"print","print"
"Product name","Product name"
"Product Name","Product Name"
"Product price","Product price"
"Purchased at:","Purchased at:"
"Purchased deals","Purchased deals"
"Purchased From (Store)","Purchased From (Store)"
"Purchased On","Purchased On"
"Purchased","Purchased"
"Purchase Information","Purchase Information"
"Purchases left to reach","Purchases left to reach"
"Purchases to complete","Purchases to complete"
"Purchase view","Purchase view"
"Qty %d for deal "%s" is not available","Qty %d for deal "%s" is not available"
"Qty is not available, available qty: %s","Qty is not available, available qty: %s"
"Qty","Qty"
"Qty to reach deal","Qty to reach deal"
"Reopen","Reopen"
"Running","Running"
"Save and Continue Edit","Save and Continue Edit"
"Save Deal","Save Deal"
"%s  bought","%s  bought"
"seconds","seconds"
"Select product linked to deal","Select product linked to deal"
"Share this deal","Share this deal"
"Ship to Name","Ship to Name"
"Short description","Short description"
"Show deal menu in top links","Show deal menu in top links"
"SKU","SKU"
"%s  more needed to get the deal","%s  more needed to get the deal"
"Sort order","Sort order"
"Status","Status"
"Store view","Store view"
"Store View","Store View"
"Succeed","Succeed"
"Successfully deleted","Successfully deleted"
"Successfully saved","Successfully saved"
"Success","Success"
"The deal is arranged with %s bought!","The deal is arranged with %s bought!"
"There are no deals available","There are no deals available"
"This deal can not be closed as success","This deal can not be closed as success"
"Thumbnail size, px","Thumbnail size, px"
"Time Left To Buy","Time Left To Buy"
"Time Left To Run","Time Left To Run"
"Time to finish","Time to finish"
"Time to start","Time to start"
"Title","Title"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Twitter","Twitter"
"Unable to find items to delete","Unable to find items to delete"
"Unable to find item to save","Unable to find item to save"
"Upcoming deals tab settings","Upcoming deals tab settings"
"Upcoming Deals","Upcoming Deals"
"Used","Used"
"Value","Value"
"View This Deal!","View This Deal!"
"View","View"
"Websites","Websites"
"Yes","Yes"
"Your coupon code for deal %s","Your coupon code for deal %s"
"You save","You save"
