"",""
"[GLOBAL]","[GLOBAAL]"
"[STORE VIEW]","[WINKELZICHT]"
"A number based on 'px' (default: 14).","Een nummer gebaseerd op px (default: 14)"
"Applies for all thumbnails.","Toepassen op alle thumbnails"
"Both Columns","Beide kolommen"
"Catalog","Catalog"
"Categories","Categorie"
"Category Level %d","Categorie Level"
"Children of Current Category","Kinderen van de huidige Categorie"
"Collapsible","Samenvoegbaar"
"Current Category and Children","Huidige Category en Kinderen"
"Custom","Eigen (Custom)"
"Default","Standaard"
"Enabled","Aan"
"Height","Hoogte"
"Left Column","Linker Kolom"
"Maximal Depth","Maximale Diepte"
"No","Nee"
"Parent Category","Parent Categorie"
"Remove Layered Navigation Category","Verwijder Gelaagde Navigatie Categorie"
"Remove Top Navigation Menu","Verwijder Top Navigatie Menu"
"Remove Zero Product Count","Verwijder Null Producten teller"
"Removes browse by category from layered navigation.","Verwijder browse by category van gelaagde navigatie"
"Removes product count for categories with zero product number.","Verwijder producten teller als teller op null staat"
"Right Column","Rechter Kolom"
"Set to 0 or leave empty for unlimit depth.","Set op 0 of laat leeg voor oneindig"
"Shows thumbnail of menus.","Laat thumbnails voor menus zien"
"Show In","Laat zien in"
"Show Product Count","Laat producten teller zien"
"Sidebar Navigation Menu Professional","Sidebar Navigation Menu Professional"
"Store Base","Winkel Basis"
"There are no categories in store.","Er zijn geen Categorien in de winkel"
"Thumbnail Enabled","Thumbnails Aan"
"Thumbnail Size","Thumbnails grotte"
"Title","Titel"
"Use Default","Gebruik Standaard"
"Use Website","Gebruik Website"
"Width","Breedte"
"Yes","Ja"
"You must refresh "Blocks HTML output" cache if it's enabled.","U moet Blocks HTML Output cache vernieuwen"
