"name","sku","attribute_set"
"Original  for apple IPhone 2G Bluetooth camera ear piece Flex Cable 821-0462-A","osst-20110331083650","Cell_Mobile_LCD"
"for apple IPhone 2G Bluetooth camera ear piece Flex Cable 821-0462-A","osst-20110331084114","Cell_Mobile_LCD"
"Original  for apple IPhone 2G Charger Dock Connector Flex Cable 821-0496-A","osst-20110331085235","Cell_Mobile_LCD"
"for apple IPhone 2G Charger Dock Connector Flex Cable 821-0496-A","osst-20110331090630","Cell_Mobile_LCD"
"Original  for apple IPhone 2G WiFi Antenna Signal Flex Cable ","osst-20110331093746","Cell_Mobile_LCD"
"WiFi Antenna Signal Flex Cable Replacement for apple IPhone 2G ","osst-20110331094233","Cell_Mobile_LCD"
"for BlackBerry 7290 LCD Display Screen Panel Big Cable","osst-20110406090221","Cell_Mobile_LCD"
"Original for BlackBerry 7290 LCD Display Screen Panel Big Cable","osst-20110406090721","Cell_Mobile_LCD"
"Original for BlackBerry 7290 LCD Display Screen Panel small Cable","osst-20110406091349","Cell_Mobile_LCD"
"for BlackBerry 7290 LCD Display Screen Panel small Cable","osst-20110406091727","Cell_Mobile_LCD"
"Earphone Headphone Headset Y Splitter Adapter Cable 1 to 2 for apple iPad 2","osst-20110414063049","Cell_Mobile_LCD"
"Splitter 1 to 2 Cable Earphone Headphone Headset Adapter for apple iPhone","osst-20110414070823","Cell_Mobile_LCD"
"Original USB Data Sync Charger Cable Cord for apple iPhone ","osst-20110414091753","Cell_Mobile_LCD"
"USB Data Sync Charger Cable Cord for apple iPhone","osst-20110414092945","Cell_Mobile_LCD"
"Original USB Data Sync Charger Cable Cord for apple iPad ","osst-20110414101406","Cell_Mobile_LCD"
"USB Data Sync Charger Cable Cord for apple iPad ","osst-20110414101912","Cell_Mobile_LCD"
"Dock Car Audio Aux USB Charger Cable Cord White for apple iPhone ","osst-20110414103240","Cell_Mobile_LCD"
"USB Data Sync Charger Cable Cord Retractable for apple iPad White","osst-20110414103251","Cell_Mobile_LCD"
"Dock Car Audio Aux USB Charger Cable Cord for apple iPhone Black ","osst-20110415021936","Cell_Mobile_LCD"
"USB Power AC Wall Charger Adapter+Data Cable AU EU UK US for apple iPhone 2G 3G 3GS 4 4S iPod","osst-20110416032954","Cell_Mobile_LCD"
"USB Charging Cable Wall Car Charger 3in1 for apple White","osst-20110418041422","Cell_Mobile_LCD"
"USB Charging Cable Wall Car Charger 3in1 for apple iPhone 4G White","osst-20110419024542","Cell_Mobile_LCD"
"USB Charging Cable Wall Car Charger 3in1 for apple iPhone 4G Black","osst-20110419031759","Cell_Mobile_LCD"
"Color USB To Micro USB Data charger sync Colorful Cable For nokia Samsung htc Sony Ericsson Motorola zte LG BlackBerry Google","osst-20110427071227","Cell_Mobile_LCD"
"Samsung D520 E908 i608 M300 U708 X838 Z728 Micro USB Sync Cord Data Cable","osst-20110427073157","Cell_Mobile_LCD"
"Samsung Galaxy Tab GT-P1000 USB Sync Cord Data Cable 30Pin ","osst-20110427074413","Cell_Mobile_LCD"
"Blackberry 8100 8300 8800 9000 Mini USB Sync Cord Data Cable","osst-20110428021824","Cell_Mobile_LCD"
"USB Power AC Wall Charger Adapter+Data Cable AU EU UK US for apple iPad 1 2 The New iPad 3","osst-20121013022651","Cell_Mobile_LCD"
"Original 8 Pin USB Data Sync Charger Cable Cord for apple iPhone 5 iPad 4 iPad Mini iPod Touch 5 iPod Nano 7","osst-20121219080427","Cell_Mobile_LCD"
"8 Pin USB Data Sync Charger Cable Cord for apple iPhone 5 iPad 4 iPad Mini iPod Touch 5 iPod Nano 7","osst-20121219081512","Cell_Mobile_LCD"
" Colour Micro USB 2.0 Data Male Cable Type A to Micro 5 Pin Smartphone Camera","osst-20130330072856","Cell_Mobile_LCD"
