sku,price,qty,weight,name,meta_description,meta_keyword,meta_title,model_number
osst-20120320040448,7.5,50,51,intel Celeron M CM 310 CM310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400,intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400,intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400,intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400,Intel Celeron
osst-20120320060226,7.5,50,51,Intel Celeron M CM 350 CM350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz,Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz,Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz,Intel Celeron M 350 SL7RA SL86L SL8MK Mobile CPU Processor 478M 1.30G 1M 400Mhz,Intel Celeron
osst-20120320062251,9.5,50,51,Intel Celeron M CM 360 CM360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz,Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz,Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz,Intel Celeron M 360 SL7LS SL8ML SL86K CPU Processor 478M 1.40GHz 1MB 400Mhz,Intel Celeron M360
osst-20120320071833,22,50,51,Intel Celeron M CM 380 CM380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz,Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz,Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz,Intel Celeron M 380 SL8MN SL86H Mobile CPU Processor 478M 1.6G 1M 400Mhz,Intel Celeron M380
osst-20120320072216,35,49,51,Intel Celeron M CM 390 CM390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz,Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz,Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz,Intel Celeron M 390 SL8MP Mobile CPU Processor Socket 478M 1.7Ghz 1MB 400Mhz,Intel Celeron M390
osst-20120320074845,9.5,50,51,Intel Celeron M CM 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533,Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533,Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533,Intel Celeron M 410 CM410 SL8W2 Mobile CPU Processor Socket M 1.46G 1M 533,Intel Celeron M410
osst-20120320081504,9.5,50,51,Intel Celeron M CM 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6Ghz 1M 533Mhz,Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6Ghz 1M 533Mhz,Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6Ghz 1M 533Mhz,Intel Celeron M 420 CM420 SL8VZ Mobile CPU Processor Socket M 1.6Ghz 1M 533Mhz,Intel Celeron M420
osst-20120320082506,22,50,51,Intel Celeron M CM 430 CM430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz,Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz,Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz,Intel Celeron M 430 SL9KV SL92F CPU Processor Socket M 1M 1.73GHz 533MHz,Intel Celeron M430
osst-20120320082718,45,49,51,Intel Celeron M CM 440 CM440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz,Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz,Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz,Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz,Intel Celeron M440
osst-20120320083833,48,50,51,Intel Celeron M CM 450 CM450 SL9KX Mobile CPU Processor Socket M 1M 2.0GHz 533Mhz,Intel Celeron M 450 CM450 SL9KX Mobile CPU Processor Socket M 1M 2.0GHz 533Mhz,Intel Celeron M 450 CM450 SL9KX Mobile CPU Processor Socket M 1M 2.0GHz 533Mhz,Intel Celeron M 450 CM450 SL9KX Mobile CPU Processor Socket M 1M 2.0GHz 533Mhz,Intel Celeron M450
osst-20120320084418,18.5,50,51,Intel Celeron M CM 520 CM520 SL9WT SL9WN Mobile CPU Processor Socket M 1M 1.6GHz 533Mhz,Intel Celeron M 520 SL9WT SL9WN Mobile CPU Processor Socket M 1M 1.6GHz 533Mhz,Intel Celeron M 520 SL9WT SL9WN Mobile CPU Processor Socket M 1M 1.6GHz 533Mhz,Intel Celeron M 520 SL9WT SL9WN Mobile CPU Processor Socket M 1M 1.6GHz 533Mhz,Intel Celeron M520
osst-20120320090003,18.5,50,51,Intel Celeron M CM 530 CM530 SL9VA SL9UY SLGFL CPU Processor Socket M 1M 1.73GHz 533,Intel Celeron M 530 SL9VA SL9UY SLGFL CPU Processor Socket M 1M 1.73GHz 533,Intel Celeron M 530 SL9VA SL9UY SLGFL CPU Processor Socket M 1M 1.73GHz 533,Intel Celeron M 530 SL9VA SL9UY SLGFL CPU Processor Socket M 1M 1.73GHz 533,Intel Celeron M530
osst-20120320090823,18.5,50,51,Intel Celeron M CM 530 CM530 SLA2G Mobile CPU Processor Socket P 1MB 1.73GHz 533Mhz,Intel Celeron M 530 SLA2G Mobile CPU Processor Socket P 1MB 1.73GHz 533Mhz,Intel Celeron M 530 SLA2G Mobile CPU Processor Socket P 1MB 1.73GHz 533Mhz,Intel Celeron M 530 SLA2G Mobile CPU Processor Socket P 1MB 1.73GHz 533Mhz,Intel Celeron M530
osst-20120320040815,7.5,50,51,Intel Celeron M CM 320 CM320 SL6N7 Mobile CPU Processor Socket 478M 1.30GHz 512K 400,Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478M 1.30GHz 512K 400,Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478M 1.30GHz 512K 400,Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478M 1.30GHz 512K 400,Intel Celeron
osst-20120320042902,7.5,50,51,Intel Celeron M CM 330 CM330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400,Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400,Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400,Intel Celeron M CM 330 SL6N6 Mobile CPU Processor Socket 478M 1.40GHz 512K 400,Intel Celeron
osst-20120320055529,7.5,50,51,Intel Celeron M CM 340 CM340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400,Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400,Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400,Intel Celeron M CM 340 SL6P6 SL7ME Mobile CPU Processor Socket 478M 1.50GHz 512K 400,Intel Celeron
osst-20120320091621,28,50,51,Intel Celeron M CM 540 CM540 SLA2F Mobile CPU Processor Socket P 1M 1.86GHz 533Mhz,Intel Celeron M CM 540 SLA2F Mobile CPU Processor Socket P 1M 1.86GHz 533Mhz,Intel Celeron M CM 540 SLA2F Mobile CPU Processor Socket P 1M 1.86GHz 533Mhz,Intel Celeron M CM 540 SLA2F Mobile CPU Processor Socket P 1M 1.86GHz 533Mhz,Intel Celeron M540
osst-20120320091939,28,50,51,Intel Celeron M CM 550 CM550 SLA2E SLAJ9 Mobile CPU Processor Socket P 1M 2.0GHz 533Mhz,Intel Celeron M CM 550 SLA2E SLAJ9 Mobile CPU Processor Socket P 1M 2.0GHz 533Mhz,Intel Celeron M CM 550 SLA2E SLAJ9 Mobile CPU Processor Socket P 1M 2.0GHz 533Mhz,Intel Celeron M CM 550 SLA2E SLAJ9 Mobile CPU Processor Socket P 1M 2.0GHz 533Mhz,Intel Celeron M550
osst-20120320094040,35,50,51,Intel Celeron M CM 560 CM560 SLA2D Mobile CPU Processor Socket P 1M 2.13GHz 533Mhz,Intel Celeron M CM 560 SLA2D Mobile CPU Processor Socket P 1M 2.13GHz 533Mhz,Intel Celeron M CM 560 SLA2D Mobile CPU Processor Socket P 1M 2.13GHz 533Mhz,Intel Celeron M CM 560 SLA2D Mobile CPU Processor Socket P 1M 2.13GHz 533Mhz,Intel Celeron M560
osst-20120320094251,45,50,51,Intel Celeron M CM 570 CM570 SLA2C Mobile CPU Processor Socket P 1M 2.26GHz 533Mhz,Intel Celeron M CM 570 SLA2C Mobile CPU Processor Socket P 1M 2.26GHz 533Mhz,Intel Celeron M CM 570 SLA2C Mobile CPU Processor Socket P 1M 2.26GHz 533Mhz,Intel Celeron M CM 570 SLA2C Mobile CPU Processor Socket P 1M 2.26GHz 533Mhz,Intel Celeron M570
osst-20120320095545,25,50,51,Intel Celeron M CM 575 CM575 SLB6M Mobile CPU Processor Socket P 1M 2.0GHz 667Mhz,Intel Celeron M CM 575 SLB6M Mobile CPU Processor Socket P 1M 2.0GHz 667Mhz,Intel Celeron M CM 575 SLB6M Mobile CPU Processor Socket P 1M 2.0GHz 667Mhz,Intel Celeron M CM 575 SLB6M Mobile CPU Processor Socket P 1M 2.0GHz 667Mhz,Intel Celeron M575
osst-20120320095950,28,50,51,Intel Celeron M CM 585 CM585 SLB6L Socket P Mobile CPU Processor 2.16Ghz 1MB 667Mhz,Intel Celeron M CM 585 SLB6L Socket P Mobile CPU Processor 2.16Ghz 1MB 667Mhz,Intel Celeron M CM 585 SLB6L Socket P Mobile CPU Processor 2.16Ghz 1MB 667Mhz,Intel Celeron M CM 585 SLB6L Socket P Mobile CPU Processor 2.16Ghz 1MB 667Mhz,Intel Celeron M585
osst-20120320101320,18.5,50,51,Intel Celeron M CM 900 CM900 SLGLQ Socket P Mobile CPU Processor 2.2Ghz 1MB 800Mhz,Intel Celeron M CM 900 SLGLQ Socket P Mobile CPU Processor 2.2Ghz 1MB 800Mhz,Intel Celeron M CM 900 SLGLQ Socket P Mobile CPU Processor 2.2Ghz 1MB 800Mhz,Intel Celeron M CM 900 SLGLQ Socket P Mobile CPU Processor 2.2Ghz 1MB 800Mhz,Intel Celeron M900
osst-20110316062332,32,50,51,Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz ,Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz ,Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz ,Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz ,Mobile Intel Celeron Processors T3300 
osst-20110316041342,58,50,51,OEM New Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz,Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz OEM,Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz OEM,Intel Celeron M T3300 SLGJW SLG92 Mobile CPU Processor Socket P 2.0GHz 800MHz OEM,Mobile Intel Celeron Processors T3300 
osst-20110402084427,35,50,51,Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ,Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ,Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ,Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ,Mobile Intel  Celeron  Processors T3500 
osst-20120320064102,25,50,51,Intel Celeron Mobile M CM 370 CM370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz,Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz,Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz,Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz,Intel Celeron M370
osst-20120320102630,18.5,50,51,Intel Core Celeron M T1400 SLAQL Socket P Mobile CPU Processor 1.73G,Intel Core Celeron M T1400 SLAQL Socket P Mobile CPU Processor 1.73G,Intel Core Celeron M T1400 SLAQL Socket P Mobile CPU Processor 1.73G,Intel Core Celeron M T1400 SLAQL Socket P Mobile CPU Processor 1.73G,Intel Celeron T1400
osst-20120320101523,22,50,51,Intel Core Celeron M T1500 SLAQK Socket P Mobile CPU Processor 1.86G,Intel Core Celeron M T1500 SLAQK Socket P Mobile CPU Processor 1.86G,Intel Core Celeron M T1500 SLAQK Socket P Mobile CPU Processor 1.86G,Intel Core Celeron M T1500 SLAQK Socket P Mobile CPU Processor 1.86G,Intel Celeron T1500
osst-20120320103535,22,50,51,Intel Core Celeron M T1600 SLB6J Socket P Mobile CPU Processor 1.66Ghz,Intel Core Celeron M T1600 SLB6J Socket P Mobile CPU Processor 1.66Ghz,Intel Core Celeron M T1600 SLB6J Socket P Mobile CPU Processor 1.66Ghz,Intel Core Celeron M T1600 SLB6J Socket P Mobile CPU Processor 1.66Ghz,Intel Celeron T1600
osst-20110329020622,28,50,51,Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz,Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz,Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz,Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz,Mobile Intel Celeron Processors T1700 
osst-20110317041443,25,50,51,Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz ,Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz ,Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz ,Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz ,Mobile Intel Celeron Processors T3000 
osst-20110317034640,48,50,51,OEM New Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz,Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz OEM,Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz OEM,Intel Core Celeron M T3000 SLGMY Mobile CPU Processor Socket P 478pin 1.8GHz 1MB 800 MHz OEM,Mobile Intel Celeron Processors T3000 
osst-20110316032417,28,50,51,Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz ,Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz ,Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz ,Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz ,Mobile Intel Celeron Processors T3100
osst-20110316031123,55,50,51,OEM New Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz,Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz OEM,Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz OEM,Intel Core Celeron M T3100 SLGEY Mobile CPU Processor Socket P 478pin 1.9GHz 1MB 800MHz OEM,Mobile Intel Celeron Processors T3100
